fecha,imagen,nombre,distribuidor,precio
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71XAYvBZTkL._AC_UY218_.jpg,davines heart of glass silkening champu 250 ml,CorradoEquipe,"20,00 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71IXlMO4HRL._AC_UY218_.jpg,davines love smooth mask 250ml disciplinante nuevo formato,CorradoEquipe,"25,90 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/614MHILl3bL._AC_UY218_.jpg,"davines volu - champú, 250 ml",CorradoEquipe,"20,50 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71wmKzvGLML._AC_UY218_.jpg,davines naturaltech shampoing energizing 250ml.,CorradoEquipe,"24,02 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61frKUCrCDL._AC_UY218_.jpg,davines heart of glass rich acondicionador 250 ml,CorradoEquipe,"32,50 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81rPSzWE1YL._AC_UY218_.jpg,davines naturaltech renewing shampoo 250ml - champù de longevidad todo.,CorradoEquipe,"26,68 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/617LFfN0y2L._AC_UY218_.jpg,davines essential solu champú 400 g (881-14861),CorradoEquipe,"24,00 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91J036FcEYL._AC_UY218_.jpg,davines more inside forming pomade 75ml,CorradoEquipe,"24,50 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71kTypzJCUL._AC_UY218_.jpg,"davines dededede barra de champú, 3.53 oz",CorradoEquipe,"18,70 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81DpKjyy8+L._AC_UY218_.jpg,davines naturaltech renewing conditioning treatment 250ml - acondicion.,CorradoEquipe,"28,30 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71YTZdSpIXL._AC_UY218_.jpg,davines energizing superactive hair serum 100ml,CorradoEquipe,"74,50 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61cid+W5wCL._AC_UY218_.jpg,davines this is a curl gel oil 250ml new,CorradoEquipe,"29,50 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71eUK8V6OGL._AC_UY218_.jpg,davines naturaltech energizing seasonal superactive hair lotion 100ml,CorradoEquipe,"77,80 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71edqAexSeL._AC_UY218_.jpg,davines authentic fórmulas cleansing nectar c&c - 280 ml,CorradoEquipe,"24,80 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71aMsFzcohL._AC_UY218_.jpg,"davines natural tech energizing gel (for scalp & fragile, thinning hai.",CorradoEquipe,"35,70 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31WfmI0AeIL._AC_UY218_.jpg,"davines, set de regalo de pelo - 400 ml.",CorradoEquipe,"27,50 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/717j3O4NbpL._AC_UY218_.jpg,"davines we stand for regeneration - lavado para el cabello y el cuerpo de edición limitada, 8.45 onzas líquidas",CorradoEquipe,"18,80 €"
30-03-2023,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61WZVvH5WTS._AC_UY218_.jpg,"davines soporte para barra de champú, 1 ct.",CorradoEquipe,"12,50 €"
